precision video #:1 precision:0.22803  missrate: 0.77197 falserate:0 
precision video #:2 precision:0.94246  missrate: 0.05754 falserate:0.97377 
precision video #:3 precision:0.023026  missrate: 0.97697 falserate:0 
precision video #:4 precision:0.97688  missrate: 0.023119 falserate:0.40298 
precision video #:5 precision:0.58251  missrate: 0.41749 falserate:0.36457 
precision video #:6 precision:0.92254  missrate: 0.077457 falserate:0.89979 
precision video #:7 precision:0.83841  missrate: 0.16159 falserate:0.21724 
precision video #:8 precision:0.53146  missrate: 0.46854 falserate:0.99446 
precision video #:9 precision:0.84437  missrate: 0.15563 falserate:0.92902 
precision video #:10 precision:0.97555  missrate: 0.024446 falserate:0.96372 
precision video #:11 precision:0.66373  missrate: 0.33627 falserate:0.93377 
precision video #:12 precision:0.57836  missrate: 0.42164 falserate:0.125 
precision video #:13 precision:0.47913  missrate: 0.52087 falserate:0.96864 
precision video #:14 precision:0.62895  missrate: 0.37105 falserate:0.21429 
precision video #:15 precision:0.95681  missrate: 0.043189 falserate:0.90078 
precision video #:16 precision:0.97975  missrate: 0.020253 falserate:0.87675 
precision video #:17 precision:0.78959  missrate: 0.21041 falserate:0.20408 
precision video #:18 precision:0.61181  missrate: 0.38819 falserate:0.31239 
precision video #:19 precision:0.98074  missrate: 0.019257 falserate:0.16813 
precision video #:20 precision:0.98492  missrate: 0.015075 falserate:0.99506 
precision video #:21 precision:0.94495  missrate: 0.055053 falserate:0.99079 
precision video #:22 precision:0.93947  missrate: 0.060526 falserate:0.92173 
precision video #:23 precision:0.64409  missrate: 0.35591 falserate:0.083333 
precision video #:24 precision:0.42056  missrate: 0.57944 falserate:0.90299 
precision video #:25 precision:0.76594  missrate: 0.23406 falserate:0.033195 
precision video #:26 precision:0.53759  missrate: 0.46241 falserate:0.98997 
precision video #:27 precision:0.9831  missrate: 0.016901 falserate:0.97152 
precision video #:28 precision:0.98522  missrate: 0.014776 falserate:0.93548 
precision video #:29 precision:0.98327  missrate: 0.016733 falserate:0.26996 
precision video #:30 precision:0  missrate: 1 falserate:1 
precision video #:31 precision:0.96151  missrate: 0.038489 falserate:0.99208 
precision video #:32 precision:0  missrate: 0 falserate:0 
precision video #:33 precision:0  missrate: 1 falserate:1 
precision video #:34 precision:0.40088  missrate: 0.59912 falserate:0.77384 
precision video #:35 precision:0.75266  missrate: 0.24734 falserate:0.97293 
precision video #:36 precision:0.84433  missrate: 0.15567 falserate:0.033333 
precision video #:37 precision:0.76889  missrate: 0.23111 falserate:0.80524 
precision video #:38 precision:0.3325  missrate: 0.6675 falserate:0.48067 
precision video #:39 precision:0.75763  missrate: 0.24237 falserate:0.012658 
precision video #:40 precision:0.97023  missrate: 0.029767 falserate:0.98279 
precision video #:41 precision:0  missrate: 1 falserate:1 
precision video #:42 precision:0.9641  missrate: 0.035904 falserate:0.88366 
precision video #:43 precision:0.65359  missrate: 0.34641 falserate:0.9943 
precision video #:44 precision:0.96851  missrate: 0.031495 falserate:0.9123 
precision video #:45 precision:0.73853  missrate: 0.26147 falserate:0.9671 
precision video #:46 precision:0.66576  missrate: 0.33424 falserate:0.92196 
precision video #:47 precision:0  missrate: 1 falserate:1 
precision video #:48 precision:0.29543  missrate: 0.70457 falserate:0.99666 
precision video #:49 precision:0.96318  missrate: 0.036822 falserate:0.99167 
precision video #:50 precision:0.029496  missrate: 0.9705 falserate:0.985 
precision video #:51 precision:0  missrate: 1 falserate:1 
precision video #:52 precision:0.32173  missrate: 0.67827 falserate:0.030303 
precision video #:53 precision:0.58168  missrate: 0.41832 falserate:0.82557 
precision video #:54 precision:0.66092  missrate: 0.33908 falserate:0.97257 
precision video #:55 precision:0.9244  missrate: 0.0756 falserate:0.19429 
precision video #:56 precision:0.95474  missrate: 0.045256 falserate:0.97923 
precision video #:57 precision:0  missrate: 1 falserate:1 
precision video #:58 precision:0.70148  missrate: 0.29852 falserate:0.11941 
precision video #:59 precision:0.79096  missrate: 0.20904 falserate:0.97667 
precision video #:60 precision:0.93931  missrate: 0.060688 falserate:0.94801 
precision video #:61 precision:0  missrate: 1 falserate:1 
precision video #:62 precision:0.074691  missrate: 0.92531 falserate:0.21429 
precision video #:63 precision:0  missrate: 1 falserate:1 
precision video #:64 precision:0.6634  missrate: 0.3366 falserate:0.80401 
precision video #:65 precision:0.96545  missrate: 0.034546 falserate:0.96519 
precision video #:66 precision:0.8199  missrate: 0.1801 falserate:0.10526 
precision video #:67 precision:0.41197  missrate: 0.58803 falserate:0.97688 
precision video #:68 precision:0.67676  missrate: 0.32324 falserate:0.7476 
precision video #:69 precision:0.39192  missrate: 0.60808 falserate:0.088252 
precision video #:70 precision:0.94587  missrate: 0.05413 falserate:0.91018 
precision video #:71 precision:0.93249  missrate: 0.067513 falserate:0.99283 
precision video #:72 precision:0.93225  missrate: 0.067749 falserate:0.23213 
precision video #:73 precision:0.95058  missrate: 0.049416 falserate:0.71985 
precision video #:74 precision:0.99756  missrate: 0.002439 falserate:0.96507 
precision video #:75 precision:0.83189  missrate: 0.16811 falserate:0.075321 
precision video #:76 precision:0.18008  missrate: 0.81992 falserate:0.125 
precision video #:77 precision:0.62775  missrate: 0.37225 falserate:0.97614 
precision video #:78 precision:0.96148  missrate: 0.038521 falserate:0.97039 
precision video #:79 precision:0.96111  missrate: 0.038889 falserate:0.96222 
precision video #:80 precision:0.97907  missrate: 0.020932 falserate:0.71616 
precision video #:81 precision:0.57575  missrate: 0.42425 falserate:0.98909 
precision video #:82 precision:0.98156  missrate: 0.018443 falserate:0.25883 
precision video #:83 precision:0.94275  missrate: 0.057253 falserate:0.29043 
precision video #:84 precision:0.97024  missrate: 0.029758 falserate:0.97176 
precision video #:85 precision:0.96137  missrate: 0.038632 falserate:0.97276 
precision video #:86 precision:0.0066852  missrate: 0.99331 falserate:0 
precision video #:87 precision:0.91229  missrate: 0.08771 falserate:0.85403 
precision video #:88 precision:0.41528  missrate: 0.58472 falserate:0.99178 
precision video #:89 precision:0.58981  missrate: 0.41019 falserate:0.97761 
precision video #:90 precision:0.80638  missrate: 0.19362 falserate:0.2474 
precision video #:91 precision:0  missrate: 1 falserate:1 
precision video #:92 precision:0.92308  missrate: 0.076923 falserate:0.98027 
precision video #:93 precision:0  missrate: 1 falserate:1 
precision video #:94 precision:0.64946  missrate: 0.35054 falserate:0 
precision video #:95 precision:0.96325  missrate: 0.036749 falserate:0.96728 
precision video #:96 precision:0.96992  missrate: 0.030075 falserate:0.94967 
precision video #:97 precision:0.47078  missrate: 0.52922 falserate:0.14956 
precision video #:98 precision:0.82236  missrate: 0.17764 falserate:0.050477 
precision video #:99 precision:0  missrate: 1 falserate:1 
precision video #:100 precision:0.97142  missrate: 0.028581 falserate:0.98318 
precision video #:101 precision:0.96636  missrate: 0.033637 falserate:0.9866 
precision video #:102 precision:0.88774  missrate: 0.11226 falserate:0.98212 
precision video #:103 precision:0.96932  missrate: 0.030685 falserate:0.97442 
precision video #:104 precision:0  missrate: 1 falserate:1 

 mAP: 0.65121,Mean Miss Rate: 0.33918, Mean False rate: 0.69634 recall:0.47115
>> 
