precision video #:1 precision:0.9808  missrate: 0.019197 falserate:0.42979 
precision video #:2 precision:0.94246  missrate: 0.05754 falserate:0.95024 
precision video #:3 precision:0.95707  missrate: 0.042928 falserate:0.75275 
precision video #:4 precision:0.9548  missrate: 0.045195 falserate:0.49144 
precision video #:5 precision:0.97779  missrate: 0.022214 falserate:0.49944 
precision video #:6 precision:0.656  missrate: 0.344 falserate:0.45349 
precision video #:7 precision:0.94321  missrate: 0.056787 falserate:0.86003 
precision video #:8 precision:0.96326  missrate: 0.036737 falserate:0.77356 
precision video #:9 precision:0.98083  missrate: 0.019167 falserate:0.79456 
precision video #:10 precision:0.97555  missrate: 0.024446 falserate:0.86438 
precision video #:11 precision:0.96794  missrate: 0.032061 falserate:0.70945 
precision video #:12 precision:0.93399  missrate: 0.066008 falserate:0.88574 
precision video #:13 precision:0.82266  missrate: 0.17734 falserate:0.87962 
precision video #:14 precision:0.90998  missrate: 0.090024 falserate:0.92302 
precision video #:15 precision:0.95681  missrate: 0.043189 falserate:0.87748 
precision video #:16 precision:0.97975  missrate: 0.020253 falserate:0.74958 
precision video #:17 precision:0.95582  missrate: 0.04418 falserate:0.57166 
precision video #:18 precision:0.89291  missrate: 0.10709 falserate:0.93771 
precision video #:19 precision:0.98074  missrate: 0.019257 falserate:0.91154 
precision video #:20 precision:0  missrate: 1 falserate:1 
precision video #:21 precision:0.94495  missrate: 0.055053 falserate:0.86949 
precision video #:22 precision:0.93947  missrate: 0.060526 falserate:0.94931 
precision video #:23 precision:0.9756  missrate: 0.024397 falserate:0.81098 
precision video #:24 precision:0.91426  missrate: 0.085738 falserate:0.76559 
precision video #:25 precision:0.95743  missrate: 0.042571 falserate:0.80046 
precision video #:26 precision:0.96766  missrate: 0.032344 falserate:0.66286 
precision video #:27 precision:0.9799  missrate: 0.020103 falserate:0.32731 
precision video #:28 precision:0.89709  missrate: 0.10291 falserate:0.54959 
precision video #:29 precision:0.98327  missrate: 0.016733 falserate:0.78323 
precision video #:30 precision:0.78532  missrate: 0.21468 falserate:0.6541 
precision video #:31 precision:0.96151  missrate: 0.038489 falserate:0.88348 
precision video #:32 precision:0.90846  missrate: 0.091541 falserate:0.38236 
precision video #:33 precision:0.96487  missrate: 0.035133 falserate:0.88992 
precision video #:34 precision:0.88807  missrate: 0.11193 falserate:0.4042 
precision video #:35 precision:0.97845  missrate: 0.021547 falserate:0.45369 
